"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-16","6.26","0.00","0.0","0",,"80","60"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-17","15.88","0.01","0.0","0",,"89","66"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-18","10.51","0.00","0.0","0",,"86","64"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-19","9.40","0.00","0.0","0",,"76","64"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-20","5.37","0.00","0.0","0",,"82","61"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-21","6.71","0.07","0.0","0",,"79","69"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-22","6.71","0.00","0.0","0",,"91","67"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-23","10.74","0.32","0.0","0",,"80","64"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-24","4.92","0.00","0.0","0",,"82","60"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-25","6.71","0.73","0.0","0",,"86","65"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-26","6.71","2.15","0.0","0",,"84","66"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-27","9.84","0.00","0.0","0",,"84","68"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-28","12.30","0.00","0.0","0",,"75","63"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-29","5.82","0.00","0.0","0",,"74","58"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-06-30","7.16","0.00","0.0","0",,"79","57"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-07-01","12.53","0.00","0.0","0",,"86","63"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-07-02","13.65","0.00","0.0","0",,"88","68"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-07-03","13.87","0.00","0.0","0",,"92","74"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-07-04","8.28","0.10","0.0","0",,"85","73"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-07-05","3.36","0.80","0.0","0",,"85","70"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-07-06","4.70","0.00","0.0","0",,"88","70"
